year_month_day,count
2010-02-01,201916
2010-02-02,220006
2010-02-03,224521
2010-02-04,235707
2010-02-05,243352
2010-02-06,234441
2010-02-07,210153
2010-02-08,419895
2010-02-09,453579
2010-02-10,258603
2010-02-11,455701
2010-02-12,512750
2010-02-13,535211
2010-02-14,488688
2010-02-15,411343
2010-02-16,455410
2010-02-17,484534
2010-02-18,500656
2010-02-19,525498
2010-02-20,510832
2010-02-21,435752
2010-02-22,426640
2010-02-23,497569
2010-02-24,482422
2010-02-25,456224
2010-02-26,345427
2010-02-27,485285
2010-02-28,433294
2010-03-01,198371
2010-03-02,216609
2010-03-03,232270
2010-03-04,235837
2010-03-05,250230
2010-03-06,243687
2010-03-07,208791
2010-03-08,424772
2010-03-09,452754
2010-03-10,475303
2010-03-11,508406
2010-03-12,534341
2010-03-13,559794
2010-03-14,406596
2010-03-15,435158
2010-03-16,456307
2010-03-17,472238
2010-03-18,514325
2010-03-19,512296
2010-03-20,508270
2010-03-21,437847
2010-03-22,428910
2010-03-23,443601
2010-03-24,454212
2010-03-25,481555
2010-03-26,526238
2010-03-27,510637
2010-03-28,437911
2010-03-29,408268
2010-03-30,457378
2010-03-31,451450
2010-04-01,510659
2010-04-02,515360
2010-04-03,495758
2010-04-04,404242
2010-04-05,420822
2010-04-06,473454
2010-04-07,509071
2010-04-08,531731
2010-04-09,567817
2010-04-10,542110
2010-04-11,449570
2010-04-12,441135
2010-04-13,492310
2010-04-14,503936
2010-04-15,537625
2010-04-16,576664
2010-04-17,539234
2010-04-18,461085
2010-04-19,451630
2010-04-20,495674
2010-04-21,518621
2010-04-22,529447
2010-04-23,551788
2010-04-24,533578
2010-04-25,484002
2010-04-26,487847
2010-04-27,507853
2010-04-28,526081
2010-04-29,533131
2010-04-30,552755
2010-05-01,544422
2010-05-02,461661
2010-05-03,468707
2010-05-04,496771
2010-05-05,528082
2010-05-06,552370
2010-05-07,545691
2010-05-08,543307
2010-05-09,468081
2010-05-10,474256
2010-05-11,512233
2010-05-12,541377
2010-05-13,536206
2010-05-14,570623
2010-05-15,550161
2010-05-16,473295
2010-05-17,482229
2010-05-18,526103
2010-05-19,523461
2010-05-20,539039
2010-05-21,561154
2010-05-22,532922
2010-05-23,445304
2010-05-24,467651
2010-05-25,503947
